seurat_clusters	Sample	.n	.frac
c1	K409_LN	614	0.51209341117598
c1	K409_tumor	585	0.48790658882402
c2	K409_LN	763	0.767605633802817
c2	K409_tumor	231	0.232394366197183
c3	K409_LN	659	0.682194616977226
c3	K409_tumor	307	0.317805383022774
c4	K409_LN	847	0.922657952069717
c4	K409_tumor	71	0.0773420479302832
c5	K409_LN	653	0.794403892944039
c5	K409_tumor	169	0.205596107055961
c6	K409_LN	675	0.851197982345523
c6	K409_tumor	118	0.148802017654477
c7	K409_LN	498	0.6484375
c7	K409_tumor	270	0.3515625
c8	K409_LN	522	0.884745762711864
c8	K409_tumor	68	0.115254237288136
c9	K409_LN	413	0.764814814814815
c9	K409_tumor	127	0.235185185185185
c10	K409_LN	296	0.580392156862745
c10	K409_tumor	214	0.419607843137255
c11	K409_LN	215	0.707236842105263
c11	K409_tumor	89	0.292763157894737
