Cluster	CD3E	Cluster_Size	Clonotype_Pct	km_cluster	is_TCell
c1	10.123322995016	930	0.932258064516129	1	TRUE
c2	4.9232189390209	830	0.871084337349398	1	TRUE
c3	6.27894439186047	661	0.786686838124054	1	TRUE
c4	6.18306709319192	614	0.771986970684039	1	TRUE
c5	7.01292979630012	562	0.905693950177936	1	TRUE
c6	6.23217468248561	527	0.850094876660342	1	TRUE
c7	4.16936798372693	505	0.782178217821782	1	TRUE
c8	7.85165090221851	504	0.779761904761905	1	TRUE
c9	5.33522000277734	492	0.680894308943089	1	TRUE
c10	7.12417624852442	398	0.464824120603015	1	TRUE
c11	6.61708782290471	397	0.594458438287154	1	TRUE
c12	7.09310633873331	354	0.909604519774011	1	TRUE
c13	9.657080055856	348	0.721264367816092	1	TRUE
c14	7.29763910448237	308	0.737012987012987	1	TRUE
c15	6.76017030994097	304	0.865131578947368	1	TRUE
c16	8.72620415445634	299	0.889632107023411	1	TRUE
c17	9.12326554497112	279	0.942652329749104	1	TRUE
c18	0.131545810280513	267	0.052434456928839	2	FALSE
c19	12.7160071007346	89	0.898876404494382	1	TRUE
c20	0.871833069282317	73	0.0547945205479452	2	FALSE
c21	0.165850188826046	61	0	2	FALSE
c22	0.39944835301619	46	0.0652173913043478	2	FALSE
